Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	r_motor10_demog_slope	p_motor10_demog_slope	r_sqrt_parksc_demog_slope	p_sqrt_parksc_demog_slope	max_abs_r	module_id	module_type	cluster_size	selection_rank	selected_by	cluster_id	therapeutic_selection_score	target_category_score	n_any_therapeutic_category	n_Alzheimer_evidence	n_known_drug_target	n_kinase	n_GPCR	n_ion_channel	representative_target_genes	representative_ad_genes
ME_M6	0.17472686213854693	0.028619280875041626	-0.08190979953149896	0.3078042569083686	0.1441409996738943	0.0716924260469369	-0.028714694044887534	0.7210973701579663	-0.06193144285201066	0.440980988658951	0.17472686213854693	6	CT	220	1	therapeutic_targets	6	916.8636363636364	298	166	148	34	17	1	9	GRIN3A(ion_channel;receptor;known_drug_target;Alzheimer_evidence);MTOR(kinase;enzyme;known_drug_target;Alzheimer_evidence);NUP93(Alzheimer_evidence);SMG8(Alzheimer_evidence);PANK1(kinase;enzyme;Alzheimer_evidence);PPP3R1(enzyme;Alzheimer_evidence);SLIT3(Alzheimer_evidence);CAMK1D(kinase;enzyme;known_drug_target;Alzheimer_evidence);MADD(kinase;enzyme;Alzheimer_evidence);UNC5C(receptor;Alzheimer_evidence);ADCK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);DUSP14(enzyme;Alzheimer_evidence);ITGAX(known_drug_target;Alzheimer_evidence);HSF2(transcription_factor;Alzheimer_evidence);CAMKV(kinase;enzyme;known_drug_target;Alzheimer_evidence);GRAMD1B(Alzheimer_evidence);PPP3CB(enzyme;Alzheimer_evidence);DHCR24(enzyme;Alzheimer_evidence);ATRNL1(kinase;enzyme;Alzheimer_evidence);GABBR2(receptor;known_drug_target;Alzheimer_evidence);PRKCD(kinase;enzyme;known_drug_target;Alzheimer_evidence);KITLG(kinase;enzyme;known_drug_target;Alzheimer_evidence);SLC30A3(transporter;known_drug_target;Alzheimer_evidence);UNC13A(Alzheimer_evidence);ATG16L1(Alzheimer_evidence)	GRIN3A(ion_channel;receptor;known_drug_target;Alzheimer_evidence);MTOR(kinase;enzyme;known_drug_target;Alzheimer_evidence);NUP93(Alzheimer_evidence);SMG8(Alzheimer_evidence);PANK1(kinase;enzyme;Alzheimer_evidence);PPP3R1(enzyme;Alzheimer_evidence);SLIT3(Alzheimer_evidence);CAMK1D(kinase;enzyme;known_drug_target;Alzheimer_evidence);MADD(kinase;enzyme;Alzheimer_evidence);UNC5C(receptor;Alzheimer_evidence);ADCK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);DUSP14(enzyme;Alzheimer_evidence);ITGAX(known_drug_target;Alzheimer_evidence);HSF2(transcription_factor;Alzheimer_evidence);CAMKV(kinase;enzyme;known_drug_target;Alzheimer_evidence);GRAMD1B(Alzheimer_evidence);PPP3CB(enzyme;Alzheimer_evidence);DHCR24(enzyme;Alzheimer_evidence);ATRNL1(kinase;enzyme;Alzheimer_evidence);GABBR2(receptor;known_drug_target;Alzheimer_evidence)
ME_M24	0.05012914467256387	0.5329630878519338	-0.054453045801355904	0.4981869529728444	0.07128609830278318	0.3749691424832634	-0.013076993589832235	0.8708713150439448	0.03636603688423966	0.6511440037718086	0.07128609830278318	24	CT	216	2	therapeutic_targets	24	840.6342592592592	271	161	146	29	10	0	3	PSEN2(enzyme;known_drug_target;Alzheimer_evidence);NDUFC2(Alzheimer_evidence);NDUFB4(Alzheimer_evidence);EPM2A(enzyme;Alzheimer_evidence);NDUFB10(Alzheimer_evidence);COX7A1(enzyme;Alzheimer_evidence);SLC25A4(transporter;known_drug_target;Alzheimer_evidence);MYL6B(Alzheimer_evidence);COX6A2(enzyme;Alzheimer_evidence);NEURL1(enzyme;Alzheimer_evidence);ERBB2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);MRPL16(Alzheimer_evidence);TFDP1(transcription_factor;Alzheimer_evidence);PGAM2(enzyme;Alzheimer_evidence);INPP5A(enzyme;known_drug_target;Alzheimer_evidence);FGFR1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ETV1(transcription_factor;Alzheimer_evidence);PDE10A(enzyme;known_drug_target;Alzheimer_evidence);BDNF(known_drug_target;Alzheimer_evidence);TF(Alzheimer_evidence);IGF1(known_drug_target;Alzheimer_evidence);NPTX2(Alzheimer_evidence);LRP8(receptor;Alzheimer_evidence);SIRT2(enzyme;known_drug_target;Alzheimer_evidence);CASP3(enzyme;known_drug_target;Alzheimer_evidence)	PSEN2(enzyme;known_drug_target;Alzheimer_evidence);NDUFC2(Alzheimer_evidence);NDUFB4(Alzheimer_evidence);EPM2A(enzyme;Alzheimer_evidence);NDUFB10(Alzheimer_evidence);COX7A1(enzyme;Alzheimer_evidence);SLC25A4(transporter;known_drug_target;Alzheimer_evidence);MYL6B(Alzheimer_evidence);COX6A2(enzyme;Alzheimer_evidence);NEURL1(enzyme;Alzheimer_evidence);ERBB2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);MRPL16(Alzheimer_evidence);TFDP1(transcription_factor;Alzheimer_evidence);PGAM2(enzyme;Alzheimer_evidence);INPP5A(enzyme;known_drug_target;Alzheimer_evidence);FGFR1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ETV1(transcription_factor;Alzheimer_evidence);PDE10A(enzyme;known_drug_target;Alzheimer_evidence);BDNF(known_drug_target;Alzheimer_evidence);TF(Alzheimer_evidence)
ME_M30	0.14388053471566498	0.07221228296064496	-0.0558947599160604	0.4868632229296571	0.14759797241104347	0.06507602170128264	-0.0154345277261622	0.8478518133912958	0.03509520280098706	0.6625740467257557	0.14759797241104347	30	CT	224	3	therapeutic_targets	30	980.2914798206278	315	181	162	39	14	2	5	SORL1(receptor;Alzheimer_evidence);CDKN1C(kinase;enzyme;Alzheimer_evidence);NDUFC1(Alzheimer_evidence);BACE1(enzyme;known_drug_target;Alzheimer_evidence);SHMT1(enzyme;Alzheimer_evidence);GDI1(Alzheimer_evidence);PITX2(transcription_factor;Alzheimer_evidence);ANO5(Alzheimer_evidence);RPH3A(Alzheimer_evidence);NRXN3(Alzheimer_evidence);LHX6(transcription_factor;Alzheimer_evidence);SLC12A2(transporter;enzyme;known_drug_target;Alzheimer_evidence);DTNB(transcription_factor;Alzheimer_evidence);HMGCS1(enzyme;known_drug_target;Alzheimer_evidence);COQ10A(Alzheimer_evidence);PDLIM5(Alzheimer_evidence);ACTN2(Alzheimer_evidence);ELMO1(Alzheimer_evidence);SV2A(transporter;known_drug_target;Alzheimer_evidence);CHRNB2(ion_channel;receptor;known_drug_target;Alzheimer_evidence);PARP1(enzyme;transcription_factor;known_drug_target;Alzheimer_evidence);FNDC5(Alzheimer_evidence);ACOT7(enzyme;Alzheimer_evidence);CRMP1(enzyme;Alzheimer_evidence);CALM3(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence)	SORL1(receptor;Alzheimer_evidence);CDKN1C(kinase;enzyme;Alzheimer_evidence);NDUFC1(Alzheimer_evidence);BACE1(enzyme;known_drug_target;Alzheimer_evidence);SHMT1(enzyme;Alzheimer_evidence);GDI1(Alzheimer_evidence);PITX2(transcription_factor;Alzheimer_evidence);ANO5(Alzheimer_evidence);RPH3A(Alzheimer_evidence);NRXN3(Alzheimer_evidence);LHX6(transcription_factor;Alzheimer_evidence);SLC12A2(transporter;enzyme;known_drug_target;Alzheimer_evidence);DTNB(transcription_factor;Alzheimer_evidence);HMGCS1(enzyme;known_drug_target;Alzheimer_evidence);COQ10A(Alzheimer_evidence);PDLIM5(Alzheimer_evidence);ACTN2(Alzheimer_evidence);ELMO1(Alzheimer_evidence);SV2A(transporter;known_drug_target;Alzheimer_evidence);CHRNB2(ion_channel;receptor;known_drug_target;Alzheimer_evidence)
ME_M56	-0.18016173434720245	0.023952581253099663	0.1058059193972497	0.1872174593179365	-0.16384043943309717	0.04032673278695716	-0.0007721033229619589	0.9923427247243952	-0.03682705928596442	0.647017325026956	0.18016173434720245	56	CT	349	4	therapeutic_targets	56	1327.4171597633135	417	249	226	54	18	0	8	SCD(enzyme;Alzheimer_evidence);NDUFC2(Alzheimer_evidence);ACACA(enzyme;known_drug_target;Alzheimer_evidence);ADRA1A(known_drug_target;Alzheimer_evidence);CHRNA7(ion_channel;receptor;known_drug_target;Alzheimer_evidence);SLIT3(Alzheimer_evidence);RPS6KC1(kinase;enzyme;known_drug_target;Alzheimer_evidence);GRIK1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);NICN1(Alzheimer_evidence);MYOM2(Alzheimer_evidence);SIK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);INPP4B(enzyme;known_drug_target;Alzheimer_evidence);ROBO2(receptor;Alzheimer_evidence);CTNNA2(Alzheimer_evidence);TENM2(Alzheimer_evidence);VWA8(Alzheimer_evidence);SHANK2(Alzheimer_evidence);NRXN1(Alzheimer_evidence);SEMA6D(Alzheimer_evidence);KLC1(Alzheimer_evidence);GRM8(receptor;known_drug_target;Alzheimer_evidence);IRAK1BP1(kinase;enzyme;receptor;Alzheimer_evidence);KIF2A(Alzheimer_evidence);GRAMD1B(Alzheimer_evidence);DUSP6(kinase;enzyme;Alzheimer_evidence)	SCD(enzyme;Alzheimer_evidence);NDUFC2(Alzheimer_evidence);ACACA(enzyme;known_drug_target;Alzheimer_evidence);ADRA1A(known_drug_target;Alzheimer_evidence);CHRNA7(ion_channel;receptor;known_drug_target;Alzheimer_evidence);SLIT3(Alzheimer_evidence);RPS6KC1(kinase;enzyme;known_drug_target;Alzheimer_evidence);GRIK1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);NICN1(Alzheimer_evidence);MYOM2(Alzheimer_evidence);SIK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);INPP4B(enzyme;known_drug_target;Alzheimer_evidence);ROBO2(receptor;Alzheimer_evidence);CTNNA2(Alzheimer_evidence);TENM2(Alzheimer_evidence);VWA8(Alzheimer_evidence);SHANK2(Alzheimer_evidence);NRXN1(Alzheimer_evidence);SEMA6D(Alzheimer_evidence);KLC1(Alzheimer_evidence)
ME_M67	-0.08294808556050658	0.30169182703255565	0.0605844791920579	0.4510006281373615	-0.12879438298678664	0.10792372428879636	-0.05822032388868552	0.4688915551860783	-0.00029532699677880733	0.9970710792313188	0.12879438298678664	67	CT	246	5	therapeutic_targets	67	1060.8979591836735	333	195	176	46	14	0	7	RXRG(receptor;known_drug_target;Alzheimer_evidence);PDE7B(enzyme;known_drug_target;Alzheimer_evidence);ESR1(receptor;known_drug_target;Alzheimer_evidence);NFIB(Alzheimer_evidence);AOPEP(enzyme;known_drug_target;Alzheimer_evidence);SLIT3(Alzheimer_evidence);DDAH1(enzyme;known_drug_target;Alzheimer_evidence);KCND3(ion_channel;known_drug_target;Alzheimer_evidence);BZW2(Alzheimer_evidence);NFIA(Alzheimer_evidence);INPP4B(enzyme;known_drug_target;Alzheimer_evidence);ALDH5A1(enzyme;known_drug_target;Alzheimer_evidence);JAK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);RASA1(Alzheimer_evidence);ROBO1(receptor;Alzheimer_evidence);PHTF2(transcription_factor;Alzheimer_evidence);CDKAL1(kinase;enzyme;Alzheimer_evidence);KALRN(kinase;enzyme;known_drug_target;Alzheimer_evidence);SEMA6D(Alzheimer_evidence);EXOC4(Alzheimer_evidence);RBFOX2(Alzheimer_evidence);PRKCQ(kinase;enzyme;known_drug_target;Alzheimer_evidence);ITFG1(Alzheimer_evidence);MEF2C(transcription_factor;Alzheimer_evidence);KCNQ5(ion_channel;known_drug_target;Alzheimer_evidence)	RXRG(receptor;known_drug_target;Alzheimer_evidence);PDE7B(enzyme;known_drug_target;Alzheimer_evidence);ESR1(receptor;known_drug_target;Alzheimer_evidence);NFIB(Alzheimer_evidence);AOPEP(enzyme;known_drug_target;Alzheimer_evidence);SLIT3(Alzheimer_evidence);DDAH1(enzyme;known_drug_target;Alzheimer_evidence);KCND3(ion_channel;known_drug_target;Alzheimer_evidence);BZW2(Alzheimer_evidence);NFIA(Alzheimer_evidence);INPP4B(enzyme;known_drug_target;Alzheimer_evidence);ALDH5A1(enzyme;known_drug_target;Alzheimer_evidence);JAK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);RASA1(Alzheimer_evidence);ROBO1(receptor;Alzheimer_evidence);PHTF2(transcription_factor;Alzheimer_evidence);CDKAL1(kinase;enzyme;Alzheimer_evidence);KALRN(kinase;enzyme;known_drug_target;Alzheimer_evidence);SEMA6D(Alzheimer_evidence);EXOC4(Alzheimer_evidence)
ME_M147	0.1922437335660286	0.015860860291807843	-0.18451963480203948	0.02069788852254947	0.2282690740645658	0.004035027703013725	0.07448724352221829	0.35384709969480815	-0.0169761681857919	0.8328668345797321	0.2282690740645658	147	CT	253	6	therapeutic_targets	147	793.8724279835391	263	164	138	26	9	2	0	APH1B(Alzheimer_evidence);WDHD1(Alzheimer_evidence);APH1A(Alzheimer_evidence);NOC3L(Alzheimer_evidence);ULK4(kinase;enzyme;known_drug_target;Alzheimer_evidence);NOX4(enzyme;known_drug_target;Alzheimer_evidence);NVL(Alzheimer_evidence);ST7L(Alzheimer_evidence);SEPSECS(enzyme;Alzheimer_evidence);TSGA10(Alzheimer_evidence);NR2C1(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);SPAG16(Alzheimer_evidence);LRBA(Alzheimer_evidence);SLC13A3(transporter;known_drug_target;Alzheimer_evidence);FBN1(known_drug_target;Alzheimer_evidence);OARD1(enzyme;Alzheimer_evidence);DDB1(Alzheimer_evidence);PRELID2(Alzheimer_evidence);CLTCL1(Alzheimer_evidence);EDN1(known_drug_target;Alzheimer_evidence);KHDRBS1(Alzheimer_evidence);NAT10(enzyme;Alzheimer_evidence);C5(enzyme;receptor;known_drug_target;Alzheimer_evidence);KLHL3(Alzheimer_evidence);PTPRG(enzyme;receptor;known_drug_target;Alzheimer_evidence)	APH1B(Alzheimer_evidence);WDHD1(Alzheimer_evidence);APH1A(Alzheimer_evidence);NOC3L(Alzheimer_evidence);ULK4(kinase;enzyme;known_drug_target;Alzheimer_evidence);NOX4(enzyme;known_drug_target;Alzheimer_evidence);NVL(Alzheimer_evidence);ST7L(Alzheimer_evidence);SEPSECS(enzyme;Alzheimer_evidence);TSGA10(Alzheimer_evidence);NR2C1(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);SPAG16(Alzheimer_evidence);LRBA(Alzheimer_evidence);SLC13A3(transporter;known_drug_target;Alzheimer_evidence);FBN1(known_drug_target;Alzheimer_evidence);OARD1(enzyme;Alzheimer_evidence);DDB1(Alzheimer_evidence);PRELID2(Alzheimer_evidence);CLTCL1(Alzheimer_evidence);EDN1(known_drug_target;Alzheimer_evidence)
ME_M148	-0.24503139689320066	0.0019814967572822327	0.238738153055113	0.0026026796756380135	-0.3355362339699446	1.740106354105132e-05	-0.039757001137835896	0.6210459354224138	0.016481761858372457	0.8376662642500241	0.3355362339699446	148	CT	865	7	therapeutic_targets	148	2458.635802469136	814	539	443	81	17	0	11	TARS2(enzyme;Alzheimer_evidence);H2BC4(Alzheimer_evidence);SCD(enzyme;Alzheimer_evidence);PLRG1(Alzheimer_evidence);BACE1(enzyme;known_drug_target;Alzheimer_evidence);PDE7B(enzyme;known_drug_target;Alzheimer_evidence);MRPS27(Alzheimer_evidence);ZKSCAN1(transcription_factor;Alzheimer_evidence);NVL(Alzheimer_evidence);CCDC88A(Alzheimer_evidence);EPHX2(enzyme;known_drug_target;Alzheimer_evidence);CAMK1G(kinase;enzyme;known_drug_target;Alzheimer_evidence);S100A13(Alzheimer_evidence);HCN2(ion_channel;known_drug_target;Alzheimer_evidence);FADS1(enzyme;Alzheimer_evidence);AOPEP(enzyme;known_drug_target;Alzheimer_evidence);NDUFA7(Alzheimer_evidence);DDAH1(enzyme;known_drug_target;Alzheimer_evidence);NEURL1(enzyme;Alzheimer_evidence);SLC6A1(transporter;known_drug_target;Alzheimer_evidence);TYW1(Alzheimer_evidence);SRR(enzyme;Alzheimer_evidence);NDUFA10(Alzheimer_evidence);CSAD(enzyme;Alzheimer_evidence);ALDH5A1(enzyme;known_drug_target;Alzheimer_evidence)	TARS2(enzyme;Alzheimer_evidence);H2BC4(Alzheimer_evidence);SCD(enzyme;Alzheimer_evidence);PLRG1(Alzheimer_evidence);BACE1(enzyme;known_drug_target;Alzheimer_evidence);PDE7B(enzyme;known_drug_target;Alzheimer_evidence);MRPS27(Alzheimer_evidence);ZKSCAN1(transcription_factor;Alzheimer_evidence);NVL(Alzheimer_evidence);CCDC88A(Alzheimer_evidence);EPHX2(enzyme;known_drug_target;Alzheimer_evidence);CAMK1G(kinase;enzyme;known_drug_target;Alzheimer_evidence);S100A13(Alzheimer_evidence);HCN2(ion_channel;known_drug_target;Alzheimer_evidence);FADS1(enzyme;Alzheimer_evidence);AOPEP(enzyme;known_drug_target;Alzheimer_evidence);NDUFA7(Alzheimer_evidence);DDAH1(enzyme;known_drug_target;Alzheimer_evidence);NEURL1(enzyme;Alzheimer_evidence);SLC6A1(transporter;known_drug_target;Alzheimer_evidence)
ME_M151	-0.27385476389392693	0.0005193766018173792	0.22995579237261624	0.003764580691192883	-0.34392185826359295	1.0328251150379665e-05	-0.12779319785806137	0.11071329883773147	0.04597110154451367	0.5675146408707138	0.34392185826359295	151	CT	361	8	therapeutic_targets	151	1237.8028169014085	414	267	225	34	12	1	1	HFE(Alzheimer_evidence);NDUFA9(enzyme;Alzheimer_evidence);TARS2(enzyme;Alzheimer_evidence);PPT1(enzyme;known_drug_target;Alzheimer_evidence);HSD17B12(enzyme;Alzheimer_evidence);SNRPD3(Alzheimer_evidence);PLRG1(Alzheimer_evidence);CDH13(Alzheimer_evidence);PRKAB1(kinase;enzyme;known_drug_target;Alzheimer_evidence);NVL(Alzheimer_evidence);LCMT1(enzyme;Alzheimer_evidence);PRRX1(transcription_factor;Alzheimer_evidence);CKMT1B(kinase;enzyme;Alzheimer_evidence);NICN1(Alzheimer_evidence);NDUFA10(Alzheimer_evidence);ME3(enzyme;Alzheimer_evidence);COPG2(Alzheimer_evidence);NR2C1(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);CLNS1A(Alzheimer_evidence);HMGCS1(enzyme;known_drug_target;Alzheimer_evidence);WDFY1(transcription_factor;Alzheimer_evidence);GSTA4(enzyme;Alzheimer_evidence);LRBA(Alzheimer_evidence);ACTN2(Alzheimer_evidence);ICA1L(Alzheimer_evidence)	HFE(Alzheimer_evidence);NDUFA9(enzyme;Alzheimer_evidence);TARS2(enzyme;Alzheimer_evidence);PPT1(enzyme;known_drug_target;Alzheimer_evidence);HSD17B12(enzyme;Alzheimer_evidence);SNRPD3(Alzheimer_evidence);PLRG1(Alzheimer_evidence);CDH13(Alzheimer_evidence);PRKAB1(kinase;enzyme;known_drug_target;Alzheimer_evidence);NVL(Alzheimer_evidence);LCMT1(enzyme;Alzheimer_evidence);PRRX1(transcription_factor;Alzheimer_evidence);CKMT1B(kinase;enzyme;Alzheimer_evidence);NICN1(Alzheimer_evidence);NDUFA10(Alzheimer_evidence);ME3(enzyme;Alzheimer_evidence);COPG2(Alzheimer_evidence);NR2C1(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);CLNS1A(Alzheimer_evidence);HMGCS1(enzyme;known_drug_target;Alzheimer_evidence)
ME_M154	-0.17426315339313703	0.029051123272616445	0.15531829825950066	0.05209048972866521	-0.29401137479243655	0.00018588640741106389	-0.03771321027789467	0.6391154565819362	0.10518811225906542	0.1898201394005704	0.29401137479243655	154	CT	246	9	therapeutic_targets	154	861.0408163265306	266	167	150	34	9	1	3	COPG1(Alzheimer_evidence);COPZ1(Alzheimer_evidence);PAF1(Alzheimer_evidence);ATP8B4(enzyme;known_drug_target;Alzheimer_evidence);GSTO1(enzyme;known_drug_target;Alzheimer_evidence);ERG(transcription_factor;Alzheimer_evidence);PRKCZ(kinase;enzyme;known_drug_target;Alzheimer_evidence);SIK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);E2F3(transcription_factor;Alzheimer_evidence);KIF3B(Alzheimer_evidence);GPAT3(enzyme;Alzheimer_evidence);AUH(enzyme;Alzheimer_evidence);DLG2(enzyme;Alzheimer_evidence);ABHD12(enzyme;known_drug_target;Alzheimer_evidence);SGK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);SNX19(Alzheimer_evidence);BCAS3(Alzheimer_evidence);ACTB(Alzheimer_evidence);FBN1(known_drug_target;Alzheimer_evidence);SMARCA2(known_drug_target;Alzheimer_evidence);ACTN2(Alzheimer_evidence);CENPQ(Alzheimer_evidence);CRBN(known_drug_target;Alzheimer_evidence);CUL4A(Alzheimer_evidence);MOG(Alzheimer_evidence)	COPG1(Alzheimer_evidence);COPZ1(Alzheimer_evidence);PAF1(Alzheimer_evidence);ATP8B4(enzyme;known_drug_target;Alzheimer_evidence);GSTO1(enzyme;known_drug_target;Alzheimer_evidence);ERG(transcription_factor;Alzheimer_evidence);PRKCZ(kinase;enzyme;known_drug_target;Alzheimer_evidence);SIK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);E2F3(transcription_factor;Alzheimer_evidence);KIF3B(Alzheimer_evidence);GPAT3(enzyme;Alzheimer_evidence);AUH(enzyme;Alzheimer_evidence);DLG2(enzyme;Alzheimer_evidence);ABHD12(enzyme;known_drug_target;Alzheimer_evidence);SGK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);SNX19(Alzheimer_evidence);BCAS3(Alzheimer_evidence);ACTB(Alzheimer_evidence);FBN1(known_drug_target;Alzheimer_evidence);SMARCA2(known_drug_target;Alzheimer_evidence)
ME_M163	-0.17535584294187886	0.028042282163937084	0.09785344680071481	0.22275666718071963	-0.1684444958372374	0.034959262657249114	-0.007205990112206691	0.92862857965014	-0.00021405584644164713	0.9978770878281278	0.17535584294187886	163	CT	302	10	therapeutic_targets	163	1081.186046511628	358	231	191	33	12	1	3	PSEN1(enzyme;known_drug_target;Alzheimer_evidence);APH1B(Alzheimer_evidence);PLRG1(Alzheimer_evidence);CAPNS1(enzyme;Alzheimer_evidence);TRAPPC11(Alzheimer_evidence);ARPC4(Alzheimer_evidence);ZNF568(transcription_factor;Alzheimer_evidence);FECH(enzyme;Alzheimer_evidence);LGMN(enzyme;known_drug_target;Alzheimer_evidence);MRPL10(Alzheimer_evidence);SCYL3(Alzheimer_evidence);UTP15(Alzheimer_evidence);LAP3(enzyme;known_drug_target;Alzheimer_evidence);DOCK4(Alzheimer_evidence);TMEM59L(Alzheimer_evidence);TMED4(Alzheimer_evidence);PKP2(Alzheimer_evidence);GSTA4(enzyme;Alzheimer_evidence);AHCY(enzyme;known_drug_target;Alzheimer_evidence);PRKCQ(kinase;enzyme;known_drug_target;Alzheimer_evidence);NUP107(Alzheimer_evidence);OARD1(enzyme;Alzheimer_evidence);CARF(transcription_factor;Alzheimer_evidence);C17orf58(Alzheimer_evidence);SYT11(Alzheimer_evidence)	PSEN1(enzyme;known_drug_target;Alzheimer_evidence);APH1B(Alzheimer_evidence);PLRG1(Alzheimer_evidence);CAPNS1(enzyme;Alzheimer_evidence);TRAPPC11(Alzheimer_evidence);ARPC4(Alzheimer_evidence);ZNF568(transcription_factor;Alzheimer_evidence);FECH(enzyme;Alzheimer_evidence);LGMN(enzyme;known_drug_target;Alzheimer_evidence);MRPL10(Alzheimer_evidence);SCYL3(Alzheimer_evidence);UTP15(Alzheimer_evidence);LAP3(enzyme;known_drug_target;Alzheimer_evidence);DOCK4(Alzheimer_evidence);TMEM59L(Alzheimer_evidence);TMED4(Alzheimer_evidence);PKP2(Alzheimer_evidence);GSTA4(enzyme;Alzheimer_evidence);AHCY(enzyme;known_drug_target;Alzheimer_evidence);PRKCQ(kinase;enzyme;known_drug_target;Alzheimer_evidence)
